LexToken(RBRACE,'}',33,524)
LexToken(DEFAULT,'default',34,526)
LexToken(COLON,':',34,533)
LexToken(BREAK,'break',35,535)
LexToken(SEMICOLON,';',35,540)
LexToken(RBRACE,'}',36,542)
LexToken(IF,'if',37,544)
LexToken(LPAREN,'(',37,547)
LexToken(NOT,'!',37,548)
LexToken(VARIABLE,'xAndYAreEqual',37,549)
LexToken(RPAREN,')',37,562)
LexToken(LBRACE,'{',37,564)
LexToken(VARIABLE,'print',38,566)
LexToken(LPAREN,'(',38,571)
LexToken(STRING,"'Bad luck!'",38,572)
LexToken(RPAREN,')',38,583)
LexToken(SEMICOLON,';',38,584)
LexToken(RBRACE,'}',39,586)
LexToken(ELSE,'else',39,588)
LexToken(LBRACE,'{',39,593)
LexToken(VARIABLE,'print',40,595)
LexToken(LPAREN,'(',40,600)
LexToken(STRING,"'Good luck!'",40,601)
LexToken(RPAREN,')',40,613)
LexToken(SEMICOLON,';',40,614)
LexToken(RBRACE,'}',41,616)
LexToken(VARIABLE,'int',42,618)
LexToken(VARIABLE,'magicNumber',42,622)
LexToken(ASSING,'=',42,634)
LexToken(LPAREN,'(',42,636)
LexToken(VARIABLE,'record',42,637)
LexToken(DOT,'.',42,643)
LexToken(DOLLAR,'$',42,644)
LexToken(INTEGER,2,42,645)
LexToken(LESS_THAN,'<',42,647)
LexToken(LESS_THAN,'<',42,648)
LexToken(INTEGER,2,42,650)
LexToken(RPAREN,')',42,651)
LexToken(TIMES,'*',42,653)
LexToken(INTEGER,3,42,655)
LexToken(SEMICOLON,';',42,656)
LexToken(VARIABLE,'int',43,658)
LexToken(VARIABLE,'mask',43,662)
LexToken(ASSING,'=',43,667)
LexToken(INTEGER,633245,43,669)
LexToken(SEMICOLON,';',43,675)
LexToken(VARIABLE,'magicNumber',44,677)
LexToken(ASSING,'=',44,689)
LexToken(VARIABLE,'magicNumber',44,691)
LexToken(BITWISE_AND,'&',44,703)
LexToken(VARIABLE,'mask',44,705)
LexToken(SEMICOLON,';',44,709)
LexToken(VARIABLE,'magicNumber',45,711)
LexToken(ASSING,'=',45,723)
LexToken(VARIABLE,'magicNumber',45,725)
LexToken(BITWISE_OR,'|',45,737)
LexToken(VARIABLE,'record',45,739)
LexToken(DOT,'.',45,745)
LexToken(DOLLAR,'$',45,746)
LexToken(INTEGER,2,45,747)
LexToken(SEMICOLON,';',45,748)
LexToken(VARIABLE,'double',46,750)
LexToken(VARIABLE,'magicDouble',46,757)
LexToken(ASSING,'=',46,769)
LexToken(VARIABLE,'magicNumber',46,771)
LexToken(TIMES,'*',46,783)
LexToken(LPAREN,'(',46,785)
LexToken(VARIABLE,'magicNumber',46,786)
LexToken(MOD,'%',46,798)
LexToken(INTEGER,2,46,800)
LexToken(RPAREN,')',46,801)
LexToken(DIVIDE,'/',46,803)
LexToken(INTEGER,5,46,805)
LexToken(SEMICOLON,';',46,806)
LexToken(RETURN,'return',47,808)
LexToken(VARIABLE,'magicDouble',47,815)
LexToken(SEMICOLON,';',47,826)
LexToken(RBRACE,'}',48,828)
LexToken(RBRACE,'}',49,830)
LexToken(VOID,'void',50,832)
LexToken(VARIABLE,'main',50,837)
LexToken(LPAREN,'(',50,841)
LexToken(RPAREN,')',50,842)
LexToken(LBRACE,'{',50,844)
LexToken(VARIABLE,'print',51,846)
LexToken(LPAREN,'(',51,851)
LexToken(STRING,"'Test code by Jose Julio Suarez'",51,852)
LexToken(RPAREN,')',51,884)
LexToken(SEMICOLON,';',51,885)
LexToken(VAR,'var',52,887)
LexToken(VARIABLE,'_myObject001',52,891)
LexToken(ASSING,'=',52,904)
LexToken(NEW,'new',52,906)
LexToken(VARIABLE,'MyClass',52,910)
LexToken(LPAREN,'(',52,917)
LexToken(FLOAT,2.3,52,918)
LexToken(COMMA,',',52,921)
LexToken(INTEGER,73,52,923)
LexToken(COMMA,',',52,925)
LexToken(STRING,"'xd'",52,927)
LexToken(RPAREN,')',52,931)
LexToken(SEMICOLON,';',52,932)
LexToken(VARIABLE,'print',53,934)
LexToken(LPAREN,'(',53,939)
LexToken(STRING,'"Your soul number: "',53,940)
LexToken(PLUS,'+',53,961)
LexToken(VARIABLE,'_myObject001',53,963)
LexToken(DOT,'.',53,975)
LexToken(VARIABLE,'doStuff',53,976)
LexToken(LPAREN,'(',53,983)
LexToken(RPAREN,')',53,984)
LexToken(RPAREN,')',53,985)
LexToken(SEMICOLON,';',53,986)
LexToken(RBRACE,'}',54,988)
